,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,Game,Home,MP,ORB,PF,PTS,STL,TOV,TP,TPA,TPP,TRB,Team,Win,X,Y,Year
193,30,4,34,40,68,0.588,17,22,0.773,1,1,240,5,14,110,8,22,13,25,0.52,39,Spurs,1,194,,2014
194,26,1,26,36,82,0.439,12,20,0.6,2,1,240,11,20,96,7,11,12,26,0.462,37,Spurs,0,195,,2014
195,21,4,24,38,64,0.594,26,32,0.813,3,0,240,5,25,111,12,12,9,20,0.45,29,Spurs,1,196,,2014
196,25,4,32,40,70,0.5710000000000001,18,25,0.72,4,0,240,12,19,107,8,14,9,21,0.429,44,Spurs,1,197,,2014
197,25,4,34,37,78,0.474,18,23,0.7829999999999999,5,1,240,6,21,104,5,8,12,26,0.462,40,Spurs,1,198,,2014
198,24,5,37,39,88,0.44299999999999995,20,22,0.909,1,1,265,11,16,108,8,12,10,27,0.37,48,Warriors,1,199,,2015
199,16,7,35,33,83,0.39799999999999996,19,25,0.76,2,1,265,10,31,93,11,18,8,35,0.22899999999999998,45,Warriors,0,200,,2015
200,21,7,28,36,90,0.4,7,12,0.583,3,0,240,18,25,91,6,14,12,34,0.353,46,Warriors,0,201,,2015
201,24,5,38,36,77,0.46799999999999997,19,27,0.7040000000000001,4,0,240,6,21,103,5,7,12,30,0.4,44,Warriors,1,202,,2015
202,25,2,32,36,75,0.48,20,34,0.588,5,1,240,11,25,104,7,16,12,26,0.462,43,Warriors,1,203,,2015
203,28,4,32,37,85,0.435,18,29,0.621,6,0,240,7,27,105,11,9,13,34,0.382,39,Warriors,1,204,,2015
